Timestamp,PWM Value,Height Tank 1,Height Tank 2
2024-10-17 13:01:40,255,372,236
2024-10-17 13:01:43,255,395,257
2024-10-17 13:01:46,255,413,277
2024-10-17 13:01:49,255,431,299
2024-10-17 13:01:52,255,445,322
2024-10-17 13:01:55,91.29933333333332,456,346
2024-10-17 13:01:59,1,458,367
2024-10-17 13:02:02,1,407,389
2024-10-17 13:02:05,1,360,406
2024-10-17 13:02:08,1,318,418
2024-10-17 13:02:11,1,286,426
2024-10-17 13:02:14,1,259,430
2024-10-17 13:02:17,1,241,430
2024-10-17 13:02:20,1,228,427
2024-10-17 13:02:23,1,221,419
2024-10-17 13:02:27,1,221,410
2024-10-17 13:02:30,1,219,400
2024-10-17 13:02:33,1,218,390
2024-10-17 13:02:36,1,217,380
2024-10-17 13:02:39,1,216,370
2024-10-17 13:02:42,1,216,361
2024-10-17 13:02:45,1,217,352
2024-10-17 13:02:48,1,217,342
2024-10-17 13:02:51,1,217,333
2024-10-17 13:02:55,1,216,324
2024-10-17 13:02:58,77.52600000000004,217,316
2024-10-17 13:03:01,153.13866666666672,234,306
2024-10-17 13:03:04,255,285,309
2024-10-17 13:03:07,69.36200000000005,324,317
2024-10-17 13:03:10,1,346,328
2024-10-17 13:03:13,1,312,342
2024-10-17 13:03:16,1,280,351
2024-10-17 13:03:19,1,257,356
2024-10-17 13:03:22,1,238,358
2024-10-17 13:03:26,1,227,354
2024-10-17 13:03:29,1,223,348
2024-10-17 13:03:32,1,219,341
2024-10-17 13:03:35,49.075333333333376,218,332
2024-10-17 13:03:38,177.65400000000002,229,326
2024-10-17 13:03:41,189.14000000000004,278,322
2024-10-17 13:03:44,207.16533333333336,317,331
2024-10-17 13:03:47,1,323,340
2024-10-17 13:03:50,1,291,351
2024-10-17 13:03:54,1,266,358
2024-10-17 13:03:57,1,244,361
2024-10-17 13:04:00,1,230,359
2024-10-17 13:04:03,1,223,353
2024-10-17 13:04:06,1,221,346
2024-10-17 13:04:09,69.31933333333336,231,340
2024-10-17 13:04:12,107.75600000000001,284,338
2024-10-17 13:04:15,56.47066666666669,314,344
2024-10-17 13:04:18,1,289,354
2024-10-17 13:04:22,1,262,360
